cluster_id,size,years,year_min,year_max,label,summary,keywords
10,4,2009;2011;2015;2020,2009,2020,男の生涯と出会い,貴族の男性が中年に達し、人生の中で出会う人々との関係を描く物語。,男;生まれる;貴族;為る;人;中年;男性;出会う;適当;生きる;世界;成り上がる;良い;暮らし;的;発想;因る;居る;達;様;転生
11,3,2011;2013;2016,2011,2016,アルバイトと就職の関係,2011年の研究では、アルバイト経験が就職活動に与える影響や、店員と社員の役割について考察されている。,店員;社員;業;者;就職;アルバイト-arbeit;会社;出勤;雇う;職場;チート-cheat;有る;残業;為る;名乗る;女性;契約
12,3,2010;2012;2017,2010,2017,少年の夢と希望,少年たちの物語を通じて、夢や希望を追い求める姿が描かれ、彼らの成長と友情が重要なテーマとなっている。,少年;物語;夢;希望;居る;日;書籍;生徒;達;歳;冒険;老後;頃;若い;者;引退;青春;幼少;幼稚;園
13,3,2018;2020,2018,2020,高校時代の後悔,幼馴染みとの関係を振り返り、死後も残る後悔を描く物語。高校生活の選択がもたらす影響を考察する。,後悔;為る;死後;居る;幼馴染み;俺;高校;中学;時代;振る;仕舞う;失望;事;告白;思い出;自殺
14,3,2014;2016,2014,2016,運命に翻弄される娘,運命に翻弄される娘の成長と葛藤を描き、彼女が直面する困難と家族との関係を探る物語。,運命;翻弄;成る;娘;俺;どう;今日;子;達;世界;乙女;変える;小説;様;ゲーム-game;シナリオ-scenario;少女;何;私-代名詞;もう;失う;薄幸;人生;終わる
15,2,2009;2014,2009,2014,アニメとヒロインの魅力,2009年のアニメにおけるヒロインの描写と作画の質について考察し、視聴者に与える影響を探る。,!;アニメ-animation;読む;呉れる;?;ヒロイン-heroine;中;作画;勘弁;コミック-comic;next;1;様;漫画;ファンタジー-fantasy;乙女;キャラ-character
16,2,2010;2016,2010,2016,中世ファンタジーとロボット,中世ファンタジー世界における魔物の存在と、ロボットとの関係性を探る物語。,魔物;蠢く;為る;ファンタジー-fantasy;世界;ロボット-robot;中世;宇宙;人;公;魔法;謎;人生;謳歌
17,2,2018;2020,2018,2020,異母姉妹の愛と孤独,異母姉妹の関係を描き、孤児院での生活や継母との葛藤を通じて、愛と孤独のテーマを探求する物語。,継母;孤児;院;愛する;彼女;姉;因る;異母;此れ;恋;女;らしい;様;奇麗;容姿;端麗;姉妹
18,2,2019,2019,2019,貴族令嬢と孤児の物語,貴族の令嬢と孤児の成長を描く物語。彼らの出会いが互いの人生に影響を与え、自己を見つける旅が展開される。,貴族;令嬢;孤児;物語;為る;育つ;私-代名詞;伯爵;家;養女;院;姉;二人;親戚
19,2,2017;2019,2017,2019,無職と再就職の葛藤,無職から再就職を目指す中で、コンビニでの仕事を通じて稼ぐ金の重要性が描かれる。,無職;成る;再;就職;稼ぐ;金;コンビニ-convenience;年;世界;事;業;者;為る;業界
20,2,2011;2017,2011,2017,脇役キャラの性格分析,2011年の作品における妹キャラや脇役キャラの性格が、攻略に与える影響を探る。,為る;妹;キャラ-character;達;脇役;性格;攻略;物語;素敵;イラスト-illustration;エンジョイ-enjoy
21,1,2017,2017,2017,12歳の魔王と王宮,12歳の魔王が王宮で迎える新たな年と騎士たちとの関係を描く物語。,歳;迎える;12;魔王;達;王宮;騎士;皇
22,1,2019,2019,2019,アナウンサーと乙女ゲーム,アナウンサーと腐女子文化が交差する乙女ゲームの世界を探求する。,アナ-announcer;腐;女子;乙女;ゲーム-game;リリー-lily;世界
23,1,2019,2019,2019,コミカライズと読者の関係,2019年における日コミカライズの進展と、読者の反応や影響について考察する。,読者;日;コミカライズ;様;2021;9;/;24
24,1,2015,2015,2015,コミックの進化と影響,2015年以降のコミックの発展と、特に2018年と2019年の作品が文化に与えた影響について考察する。,!;コミック-comic;舎;ウォーカー-walker;巻;2018;2019
25,1,2012,2012,2012,コンビニ強盗の心理,コンビニでの強盗行為とその背後にある心理や社会的要因を探る。,コンビニ-convenience;強盗;チート-cheat;貰う;居る;異
26,1,2020,2020,2020,サバイバルと人生の再構築,困難な状況を乗り越え、生活を再構築することで、人生をより良く過ごす方法を探る。,サバイバル-survival;生活;人生;遣り直す;過ごす;為;成る
27,1,2018,2018,2018,ヒロインとの出会いと選択,ヒーローがヒロインと出会い、彼女を選ぶ過程や、ギルドからの追放を通じて描かれる物語の展開。,ヒロイン-heroine;出会う;選ぶ;ヒーロー-hero;他;攻略;ギルド-guild;追放
28,1,2015,2015,2015,上司との関係性,上司や社長との関係を描き、職場における権力や影響力のダイナミクスを探る。,上司;ラスボス-last;boss;社長;さん;御;相手
29,1,2009,2009,2009,世界での生き方,人生をどのように送るか、世界の中での生活の意味を探求するテーマ。,世界;生きる;人生;送る;生活;何;幕
30,1,2010,2010,2010,中世ヨーロッパの世界観,中世ヨーロッパにおける此の世と此の世去ることの意味を探求し、世界との関係性を考察する。,中世;ヨーロッパ-europa;此の世;去る;世界;俺
31,1,2012,2012,2012,人生の選択と生き方,人生を懸けて生きることの意味や、異なる世界での生存の在り方について考察する。,人生;掛ける;俺;暮らす;世界;別;生き延びる;事
32,1,2011,2011,2011,人類の宇宙進出の物語,2011年の物語は、五千年の時を経て人類が宇宙に進出する様子を描いている。,宇宙;進出;人類;時代;物語;五千;年;成る;地球
33,1,2011,2011,2011,仲間との絆と喪失,2011年の物語では、ギルドの仲間たちがサービス終了を迎え、共に過ごした時間や喪失感が描かれる。,蹂躙;為る;サービス-service;終了;ギルド-guild;マスター-master;仲間;達;デッド-dead
34,1,2011,2011,2011,作者の意図と作品,小説における作者の意図や都合が、作品の主人公や物語にどのように影響を与えるかを探る。,有る;作者;小説;主人;都合;本;作品
35,1,2016,2016,2016,初恋の思い出と後悔,幼馴染の女の子との初恋を振り返り、過去に戻りたいという後悔が描かれる。,初恋;思い出;幼馴染み;女の子;過去;戻る;後悔
36,1,2014,2014,2014,前世と人格の探求,優しい少年が前世の記憶を通じて、自身の人格や性癖、価値観を再評価し、世界との関わりを模索する物語。,人格;性癖;優しい;少年;価値;観;世界;前世
37,1,2017,2017,2017,前世と現在の影響,前世の不幸が今の生活に影響を与えない世界を描き、記憶の有無がテーマとなる。,前世;不幸;今;生活;無い;世界;記憶;一寸
38,1,2015,2015,2015,友達から恋人へ,クリスマスを背景に、友達から恋人へと変わる関係の葛藤と喜びを描いた物語。,友達;成る;恋人;此れ;恋;クリスマス-christmas;有る;曰く
39,1,2019,2019,2019,双子と家族の迫害,双子の妹たちが伯爵家で直面する迫害と、その影響を受ける両親との関係を描く物語。,双子;妹;両親;伯爵;家;迫害;為る;達
40,1,2014,2014,2014,同棲と創作の葛藤,同棲生活を送りながらアルバイトをし、友人や退魔師としての経験を通じて作家としての成長を描く物語。,同棲;アルバイト-arbeit;友人;退魔;師;作家
41,1,2012,2012,2012,女性の存在とアイデンティティ,女性の成り立ちや生死の境界を通じて、自己を見つめ直す物語が描かれる。,人物;成る;嬢;様;女;異;生死;境;付く;私-代名詞
42,1,2013,2013,2013,女神と地球の選択,物質を信じる彼が、世界の女神によって選ばれることで、地球の運命が変わる物語。,世界;女神;彼;選ぶ;為る;地球;物;信ずる;第;七
43,1,2015,2015,2015,学園内の性別偽装,学園内で性別を偽る生徒たちの葛藤と、彼らの主義者としての立場が描かれる物語。,学園;内;性別;偽る;生徒;達;他;主義;者
44,1,2019,2019,2019,学校での少年の迫害,学校内での生徒たちによる少年への迫害と、その中で彼が身につけるスキルについての物語。,彼;学校;中;生徒;達;少年;スキル-skill;迫害;為る
45,1,2011,2011,2011,家族の存在と叫び,母や祖父の存在を通じて、自己の存在意義を問いかける物語。,叫ぶ;居る;母;何;俺;祖父;様;此処
46,1,2020,2020,2020,年下社員との職場恋愛,金髪の美しい年下社員とのオフィスでの恋愛模様を描く物語。,社員;職場;オフィス-office;年下;金髪;美
47,1,2019,2019,2019,恋愛と階級の葛藤,公爵家の令嬢と王子の婚約を巡り、男爵家の令嬢が絡む恋愛模様と階級の対立が描かれる物語。,公爵;令嬢;王子;婚約;男爵;家;有る
48,1,2020,2020,2020,恋愛ゲームの新たな展開,令嬢が生まれ変わり、恋愛ゲームの世界で公に出ることで繰り広げられる物語。ゲームを通じての成長と愛の探求が描かれる。,ゲーム-game;出る;恋愛;公;使う;令嬢;生まれ変わる
49,1,2019,2019,2019,愛と浮気の新しい世界,婚約中の私が新たな恋に目覚め、愛と浮気の複雑な関係を探求する物語。,私-代名詞;婚約;愛する;結婚;居る;浮気;新しい;恋;世界;恋愛
50,1,2017,2017,2017,憧れの少女とブラコン,容姿端麗な少女が王都学園で憧れの存在となり、ブラコンの妹との関係が描かれる物語。,容姿;端麗;憧れ;的;無い;少女;ブラコン-brother;complex;妹;王都;学園
51,1,2015,2015,2015,挑戦と失敗の人生,自暴自棄になりながらも、人生設計を見直し、生き残るための挑戦を続ける姿を描く。,生き残る;事;自暴;自棄;失敗;人生;設計;挑戦;為る
52,1,2013,2013,2013,挫折と成長の物語,幼馴染みへの告白を通じて、少年が突然の無能感と挫折を経験し、勇者としての成長を遂げる物語。,挫折;為る;突然;無能;勇者;様;幼馴染み;告白;少年;異
53,1,2020,2020,2020,改稿と掲載のプロセス,2020年における改稿版の執筆と、掲載予定の作品に関する考察を示す。,読む;方;改稿;版;掲載;予定;積り;書く;為る
54,1,2016,2016,2016,書籍発売予定の小説,2016年に発売予定の小説に関する情報を提供するページです。,!;書籍;小説;家;ブック-book;様;発売;予定;ページ-page
55,1,2017,2017,2017,最弱の冒険者の成長,最弱とされる新人冒険者が、謎のスキルを発揮し成長していく物語。,最弱;冒険;さん;新人;謎;スキル-skill;発揮
56,1,2010,2010,2010,未熟な男の成長,未熟な男が紳士として成長する過程を描き、彼の歩みと内面的葛藤を探求する物語。,男;生まれる;紳士;歩む;彼;未熟;者
57,1,2010,2010,2010,本編と番外の関係,本編と番外の内容がどのように関連し、出来事に基づいて展開されるかを探る。,本編;番外;話;為る;内容;出来事;因る;編;此方
58,1,2018,2018,2018,東京の隣人と子猫,東京での隣人との出会いと、子猫との生活を通じて描かれる心温まる物語。,御;隣り;子猫;住む;居る;遭遇;為る;トウキョウ
59,1,2019,2019,2019,架空の宇宙人と絶滅,架空の存在としての宇宙人が、事前世や絶滅のテーマを通じて人類の未来を考察する物語。,架空;存在;事;前世;絶滅;宇宙;船;人
60,1,2017,2017,2017,母の死と人生の変化,母の死をきっかけに、のんびりとした暮らしが一変し、新たな人生が始まる様子を描いている。,母;亡くなる;のんびり;暮らす;人生;一変;家;生まれる;私-代名詞
61,1,2015,2015,2015,没落と新たな世界,祖父の離宮を出て、没落した家族の歴史を背負いながら新たな世界に飛び出す物語。,世界;飛び出す;家;出る;離宮;祖父;様;没落
62,1,2017,2017,2017,漫画の発売と重版,2017年に予定されているコミックの発売情報と重版決定についてのニュース。,発売;予定;!;コミック-comic;漫画;重版;決定
63,1,2013,2013,2013,特異能力を持つ生徒たち,特異な能力を持つ生徒たちが通う学校での物語を描く。,生徒;達;学校;通う;物語;異;特異;能力;居る
64,1,2012,2012,2012,独身生活の気侭さ,独身であることの自由さや気侭な生活を描いた物語に対する個別の感想を探求する。,独身;気侭;生活;為る;物語;感想;個別
65,1,2019,2019,2019,生まれ変わる世界の豊かさ,新たな世界での生まれ変わりを通じて、豊かさを得る可能性を探求する。,世界;生まれ変わる;得る;居る;!;豊か;為る
66,1,2015,2015,2015,生活と化け物の交錯,生活の中に潜む化け物や女神の存在が、通り魔のように人々の世界に影響を与える様子を描く。,生活;記;女神;ミス-mistake;世界;放り込む;通り魔;差す-他動詞;居る;化け物
67,1,2013,2013,2013,異なる視点の年齢観,前代未聞の視点から、私たちの年齢や性別に対する認識の違いを探求する。,前代;未聞;歳;異;私-代名詞;気;=;年齢;女
68,1,2018,2018,2018,異世界での目覚め,主人公が異なる宇宙の人物と出会い、目覚めることで新たな世界に踏み込む物語。,登場;人物;宇宙;人;?;世界;目覚める;主人;居る;異
69,1,2011,2011,2011,私と前世の世界,私という代名詞を通じて、人生や生まれ変わりの概念を探求し、前世との関連を考察する。,私-代名詞;人生;前世;世界;生まれ変わる;言う
70,1,2017,2017,2017,結婚と未亡人の生活,令嬢の婚約と夫の態度が、妻としての役割や未亡人の生活に与える影響を探る。,結婚;生活;令嬢;婚約;夫;態度;妻;為る;未亡人
71,1,2018,2018,2018,美しい妹と王子たち,美しい妹が伯爵家の令嬢として、二人の王子との関係を通じて妃となる物語。,美しい;妹;伯爵;令嬢;二;王子;家;妃;成る
72,1,2012,2012,2012,美形ゴブリンの宝石物語,美形のゴブリンが宝石を巡る冒険を描いた物語で、挿し絵が魅力的に物語を彩る。,宝石;http;:;挿し絵;ゴブリン-goblin;美形
73,1,2015,2015,2015,老人の転生と戸惑い,老人が転生を経験し、戸惑いながら新たな生活を模索する様子を描く物語。,老人;困惑;為る;事;戸惑う;部屋;中;転生;言う
74,1,2011,2011,2011,自暴自棄の転移と影響,自暴自棄に陥った者が、仕事の疲れや被害者意識を抱え、周囲に影響を及ぼす様子を描写する。,自暴;自棄;転移;者;被害;仕事;疲れる
75,1,2012,2012,2012,親友との絆と死,主人公は唯一の親友との関係を描き、死を迎えることでその絆の重要性を再認識する物語。,僕;親友;唯一;友達;居る;死ぬ;仕舞う
76,1,2016,2016,2016,記憶喪失の少年の物語,器用貧乏な少年が目指す夢を追い、記憶を失った過去を乗り越え成長する物語。,少年;物語;目指す;記憶;喪失;器用;貧乏;彼;忘れる
77,1,2016,2016,2016,賢者の成長と試練,弱い自分を乗り越え、魔物討伐を通じて大賢者へと成長する彼の物語。,魔物;討伐;暮れる;彼;大;賢者;成る;弱い;さ
78,1,2012,2012,2012,転生した兄弟の物語,妹と姉の関係を描きつつ、転生した兄弟が彼女の生活に影響を与える末裔の物語。,ヒロイン-heroine;妹;姉;為る;兄弟;転生;彼女;生活;末裔;有る
79,1,2019,2019,2019,転生した武将の逆襲,大貴族の権力者に立ち向かう転生した武将が、馬鹿王子と勇者の首を狙う物語。,馬鹿;王子;勇者;首;大;貴族;権力;者;武将;転生
80,1,2019,2019,2019,転生と友情の物語,彼は転生を果たし、幼馴染みの存在が無い新たな人生を歩む中で、賢者と呼ばれる存在に導かれる。,彼;転生;因る;死亡;為る;人生;無い;幼馴染み;賢者;呼ぶ
81,1,2018,2018,2018,転職と自己探求,上司との関係や転職を通じて、自分自身の存在意義や人生の選択について考える物語。,粗筋;俺;上司;転職;仕舞う;何故;全て
82,1,2012,2012,2012,迷宮と都市の関係,迷宮が象徴する都市の複雑さや人間の探求心を探る。迷宮は世界の中での自己探求の象徴として機能する。,迷宮;都市;世界;大;洞窟;中
83,1,2020,2020,2020,運命と母の不在,母がいない子供が人生を満喫し、運命を受け入れるシンデレラストーリーを描く。,無い;母;子供;居る;人生;満喫;運命;言う;シンデレラ-cinderella;ストーリー-story
84,1,2017,2017,2017,運命と輪廻の自殺,自殺を選ぶことで運命を断ち切る行為と、輪廻転生の概念が交錯するテーマを探求する。,前;死ぬ;命;断つ;為る;自殺;言う;運命;輪廻;転生
85,1,2018,2018,2018,運命に翻弄される花嫁,エミリアとリカの物語は、数奇な運命に導かれ、花嫁としての役割を果たす中での葛藤を描いている。,エミリア;花嫁;為る;リカ;数奇;運命;有る;ノア
86,1,2018,2018,2018,青春の戸惑いと成長,人見知りの男子が学園生活での違いに戸惑いながら、友情や自己成長を模索する青春物語。,人;見知り;生;男子;違い;戸惑う;青春;学園;生活
87,1,2017,2017,2017,高卒の天使と堕落,優等生が自堕落に陥り、ダンジョンマスターとしての役割を果たす物語。,高卒;優等;生;自;堕落;天使;ダンジョン;マスター-master
88,1,2015,2015,2015,高校生の友情と恋愛,高校生活を通じて、女の子と男の彼女、腐女子の視点から描かれる友情と恋愛の葛藤。,成る;女の子;男;彼女;彼;高校;腐;女子;有る;親友
89,1,2015,2015,2015,高校生の英雄譚,高校生たちが下校中に直面する困難を乗り越え、友情や成長を通じて英雄的な行動を示す物語。,少年;英雄;下校;中;生徒;達;高校;級;スキル-skill
