id,year,topic,top_terms,count,label_llm,summary_llm
2010:0,2010,0,"ゲーム-game 世界, 有る ゲーム-game, ライン-line ゲーム-game, デス-death ゲーム-game, 為る ゲーム-game",14,ゲームの世界と死,ゲームの世界における存在や死の概念を探求し、ラインゲームの特性を考察する。
2010:1,2010,1,"本編 番外, 話 本編, 為る 内容, 出来事 因る, 編 此方",5,本編と番外の関係,本編と番外の内容がどのように関連し、出来事に基づいて展開されるかを探る。
2010:2,2010,2,"女神 呼ぶ, 魔王 打つ, 魔王 領, 有る 魔王, 魔物 達",4,女神と魔王の戦い,女神が魔王を打ち倒すために呼ばれ、魔物たちとの戦いが繰り広げられる物語。
2010:3,2010,3,"日本 人, 有る ファンタジー-fantasy, 登場 人物, 世界 魔術, 有る 剣",5,日本のファンタジー世界,日本を舞台にしたファンタジー作品で、魔術や剣を使う登場人物たちの冒険が描かれる。
2010:4,2010,4,"魔術 才能, マジック-magic, 魔術 使う, 魔力 量, 魔法 使う",1,魔術と才能の関係,魔術の使用には個々の才能や魔力の量が影響し、魔法の使い方に多様性をもたらす。
2010:6,2010,6,"為る 勇者, 人物 達, 集う, パーティー-party メンバー-member, メンバー-member",1,勇者たちの集い,勇者たちが集まり、共に冒険を繰り広げる様子を描いた物語。
2010:8,2010,8,"悪役 令嬢, 前世 乙女, ゲーム-game 悪役, アナ-announcer, レディー-lady",1,悪役令嬢の逆転劇,前世で乙女ゲームの悪役令嬢だった主人公が、運命を変えるため奮闘する物語。
2010:9,2010,9,"学校 生活, 独り暮らし 為る, 高校 生活, 中学 卒業, 有る 物語",3,高校生活の独り暮らし,中学卒業後、高校生活を独り暮らしで送る主人公の物語。新たな環境での成長や葛藤が描かれる。
2010:10,2010,10,"ヒーロー-hero, 勇者 中, 選ぶ 勇者, 彼 戦闘, 為る ヒーロー-hero",3,勇者の選択と戦闘,ヒーローとしての選択と戦闘を通じて、真の勇者がどのように形成されるかを探る物語。
2010:11,2010,11,"魔王 討伐, 勇者 魔王, 世界 魔王, 魔王 倒す, 魔王 軍",1,勇者と魔王の戦い,勇者が魔王を討伐する物語を通じて、世界の平和を取り戻す戦いが描かれる。
2010:15,2010,15,"不死 成る, 呆気ない 死ぬ, 不老 不死, 死ぬ 筈, 覚める 見知る",2,不死と死の対比,不老不死の概念が、呆気ない死と対峙し、存在の意味を問い直す。
2010:16,2010,16,"不思議 世界, 少年 異, 有る 少年, 世界 迷い込む, 世界 冒険",3,不思議な冒険の少年,少年が異世界に迷い込み、不思議な冒険を繰り広げる物語。
2010:17,2010,17,"世界 暮らす, 為る 姉, 何 世界, 無い 姉, 両親 妹",1,家族と世界の関係,姉が家族のために世界で生きる姿を描き、両親や妹との関係を通じて、存在意義を問い直す物語。
2010:18,2010,18,"夫 愛する, 私-代名詞 結婚, 再婚, 結婚 為る, 私-代名詞 婚約",2,再婚と愛の再定義,結婚や婚約における私の立場を再考し、愛する夫との関係を通じて再婚の意義を探る。
2010:19,2010,19,"少年 物語, 夢 希望, 少年 居る, 日 書籍, 生徒 達",1,少年の夢と希望,少年たちの物語を通じて、夢や希望を追い求める姿が描かれ、彼らの成長と友情が重要なテーマとなっている。
2010:23,2010,23,"王太子 殿下, 正妃 成る, 結婚 為る, 王子, 姫 有る",3,王太子の結婚と正妃,王太子が正妃を迎え入れる過程を描き、王子と姫の運命が交錯する物語。
2010:25,2010,25,"結婚 為る, 浮気, 恋愛 要素, 嫉妬, 私-代名詞 どう",3,恋愛と嫉妬の葛藤,結婚を考える中での浮気や嫉妬の感情が、私の恋愛観にどのように影響するかを探る。
2010:26,2010,26,"魔物 蠢く, 為る 魔物, ファンタジー-fantasy 世界, ロボット-robot, 中世 ファンタジー-fantasy",1,中世ファンタジーとロボット,中世ファンタジー世界における魔物の存在と、ロボットとの関係性を探る物語。
2010:31,2010,31,"世界 魔王, 物語 フィクション-fiction, 世界 前世, ※ 物語, 前世 知識",2,前世と魔王の物語,前世の知識を持つ主人公が、魔王としての運命に立ち向かうフィクションの物語。
2010:33,2010,33,"生きる 足掻く, 命 辛々, 死ぬ 仕舞う, 辛々 逃げ出す, ダーク-dark",1,生きることの苦悩,命の重さと死への逃避を描き、生きることの辛さや足掻きをテーマにした作品。
2010:35,2010,35,"中世 ヨーロッパ-Europa, 此の世, 此の世 去る, 世界 俺, ヨーロッパ-Europa",1,中世ヨーロッパの世界観,中世ヨーロッパにおける此の世と此の世去ることの意味を探求し、世界との関係性を考察する。
2010:38,2010,38,"猫 成る, 為る 事件, 中 出会う, 使い魔, 奉公",3,猫と使い魔の出会い,猫が使い魔として奉公し、様々な事件に遭遇する中での成長と出会いを描く物語。
2010:41,2010,41,"魔境, 魔術 学院, 魔 石, 特異, 美形",2,魔術学院の特異な美形,魔術学院を舞台に、特異な才能を持つ美形たちが魔石を巡る冒険を繰り広げる物語。
2010:43,2010,43,"クイーン-queen, 王 様, 為る 貴族, 因る 城, 呼ぶ 王",2,王と貴族の関係,クイーンと王様の関係を通じて、貴族の役割や城の重要性が描かれ、権力の象徴としての王の存在が浮き彫りになる。
2010:47,2010,47,"居る 初恋, 養子, 憧れ 有る, 子 自分, 結婚 為る",1,初恋と家族の絆,初恋の憧れを抱く養子が、自分の存在を見つめ直し、結婚を通じて家族の絆を深める物語。
2010:51,2010,51,"男 生まれる, 紳士, 歩む 男, 男 彼, 未熟 者",1,未熟な男の成長,未熟な男が紳士として成長する過程を描き、彼の歩みと内面的葛藤を探求する物語。
2011:0,2011,0,"ゲーマー, ゲーム-game 世界, ゲーム-game 内, デス-death ゲーム-game, 小説 ゲーム-game",28,ゲームと死の交差点,2011年の作品では、ゲーマーがゲーム内で経験する死の概念とその影響を探求し、小説としての新たな表現を試みている。
2011:1,2011,1,"有る 作者, 小説 主人, 作者, 作者 都合, 本 作品",12,作者の意図と作品,小説における作者の意図や都合が、作品の主人公や物語にどのように影響を与えるかを探る。
2011:2,2011,2,"魔女 成る, 魔女, 少女 魔法, 魔法 当たり前, 魔法 職",10,魔女と少女の成長,魔女として成長する少女が、魔法を当たり前に使いこなし、職業としての魔法の意義を探る物語。
2011:3,2011,3,"現代 日本, 元 日本, 世界 転移, 彼 世界, 世界 侵略",9,現代日本の世界転移,2011年の作品は、現代日本と元日本の関係を探求し、世界侵略のテーマを通じて彼の世界観を描いている。
2011:4,2011,4,"剣 魔法, 魔術 師, 魔術 才能, 魔法 世界, 初級 魔法",1,魔法と剣の冒険,2011年の作品では、初級魔法を学ぶ魔術師が剣と魔法の世界で成長し、才能を開花させる物語が描かれています。
2011:5,2011,5,"公爵 令嬢, 王子 結婚, 王子 婚約, 公爵 令息, 公爵 家",2,王子と公爵家の婚約,公爵家の令嬢と王子の婚約を巡る物語。家柄や結婚の背景が絡み合い、恋愛と運命が交錯する。
2011:6,2011,6,"蹂躙 為る, サービス-service 終了, ギルド-guild マスター-master, 仲間 達, デッド-dead",1,仲間との絆と喪失,2011年の物語では、ギルドの仲間たちがサービス終了を迎え、共に過ごした時間や喪失感が描かれる。
2011:7,2011,7,"才能 有る, 貰う スキル-skill, スキル-skill 駆使, 居る 力, 苦難 乗り越える",3,才能とスキルの力,才能を持つ者がスキルを駆使し、苦難を乗り越える力を得る様子を描く。
2011:9,2011,9,"平凡 少女, 学園 物語, 彼女 物語, 学生 生活, 少年 達",4,平凡な少女の学園生活,平凡な少女が少年たちと共に過ごす学園生活を描いた物語。友情や成長がテーマ。
2011:10,2011,10,"人 死ぬ, 死 戻る, 生きる 抜く, 度 死, 挽く 死ぬ",3,生と死の循環,人が死に、また戻ることで生きる意味を探求するテーマ。死の度に生きることの価値が問われる。
2011:11,2011,11,"魔王 討伐, 魔王 成る, 魔王 倒す, 為る 魔王, 魔王 軍",1,魔王の成り立ちと討伐,魔王の存在とその討伐に関する物語が描かれ、魔王がどのように成り立ち、倒されるのかが探求される。
2011:12,2011,12,"聖女 成る, 偽 聖女, 聖女 有る, 為る 聖女, 読む 事",1,聖女の存在と役割,聖女の概念とその偽りの姿を探求し、聖女としての存在意義を考察する。
2011:13,2011,13,"ゲーム-game 終わる, ゲーム-game 酷似, ゲーム-game 嵌まる, ゲーム-game 主人, ゲーム-game 本編",6,ゲームの影響と没入,ゲームの終わりや本編との酷似、主人公の役割に焦点を当て、プレイヤーの没入感とその影響を探る。
2011:14,2011,14,"皇太子, 皇后, 二 王子, 王太子, 王子",2,皇族の役割と影響,2011年の皇太子と皇后、二王子の関係を通じて、皇族の社会的役割や影響力について考察する。
2011:15,2011,15,"私-代名詞 人生, 前世 世界, 私-代名詞 生まれ変わる, 言う 私-代名詞, 私-代名詞 世界",4,私と前世の世界,私という代名詞を通じて、人生や生まれ変わりの概念を探求し、前世との関連を考察する。
2011:16,2011,16,"魔物 人間, 為 迷宮, ― 迷宮, 持つ 魔力, 一緒 魔王",4,魔物と人間の共存,魔物と人間が共に迷宮を探索し、魔王の持つ魔力に立ち向かう物語。
2011:17,2011,17,"為る 妹, キャラ-character 達, 脇役, 性格 為る, 攻略 キャラ-character",3,脇役キャラの性格分析,2011年の作品における妹キャラや脇役キャラの性格が、攻略に与える影響を探る。
2011:19,2011,19,"生徒 達, 成る 書籍, 物語 御, 貴族 社会, 勇者 因る",2,貴族社会と勇者の物語,2011年の書籍において、生徒たちが貴族社会で勇者となる物語が描かれ、成長と冒険のテーマが探求される。
2011:20,2011,20,"28 歳, 容姿 端麗, 年下, 幼馴染み 居る, 一生",1,年下の幼馴染みとの恋,28歳の容姿端麗な主人公が、年下の幼馴染みとの一生を考える恋愛模様を描く。
2011:21,2011,21,"学園 入学, 学校 有る, 授業 中, 学生 時代, クラス-class 毎",1,学園生活の思い出,2011年の学園生活を振り返り、入学から授業、クラスメートとの交流を通じて学生時代の思い出を描写する。
2011:23,2011,23,"王子 殿下, 皇太子 殿下, 王太子 殿下, 王子, 二 王子",2,王子と皇太子の関係,2011年の作品では、王子や皇太子の立場や役割が描かれ、彼らの関係性や葛藤がテーマとなっている。
2011:26,2011,26,"人々 物語, 世界 剣, 世界 無双, 蛮族, 世界 出会う",2,剣と出会う物語,2011年の物語では、剣を持つ人々が蛮族と出会い、無双の力を発揮する世界が描かれています。
2011:27,2011,27,"ドラゴン-dragon, 竜 魂, 竜 転生, 人 竜, 中世 ファンタジー-fantasy",5,ドラゴンと人の転生,中世ファンタジーにおけるドラゴンと人間の魂の転生を描き、異なる存在の融合を探求する物語。
2011:28,2011,28,"神 因る, 知る 神, 運命 神, 神 様, 神 殺す",1,神と運命の探求,神の存在と運命に対する人間の理解を探求し、神を殺すというテーマを通じて、信仰と運命の関係を考察する。
2011:30,2011,30,"迷宮 主, 為る 迷宮, 魔力, 魔法 士, 世界 ファンタジー-fantasy",1,迷宮と魔法の世界,2011年のファンタジー作品で、迷宮を主題にした魔法使いの冒険が描かれ、魔力の探求が繰り広げられる。
2011:31,2011,31,"私-代名詞 魔王, 世界 魔王, 人 魔王, 妖精, 魔王 成る",5,魔王と人間の関係,魔王が人間や妖精と関わりながら、自己の存在意義を探求する物語。
2011:32,2011,32,"人生 後悔, 後悔 為る, 無職 童貞, 人生 送る, 死ぬ 仕舞う",2,人生の後悔と孤独,無職で童貞の主人公が人生の選択を振り返り、後悔と孤独を抱えながら生きる様子を描く。
2011:33,2011,33,"宇宙 進出, 人類 宇宙, 時代 物語, 五千 年, 成る 地球",1,人類の宇宙進出の物語,2011年の物語は、五千年の時を経て人類が宇宙に進出する様子を描いている。
2011:34,2011,34,"店員, 社員, 業 者, 就職, アルバイト-Arbeit",1,アルバイトと就職の関係,2011年の研究では、アルバイト経験が就職活動に与える影響や、店員と社員の役割について考察されている。
2011:35,2011,35,"叫ぶ, 居る 母, 何 俺, 祖父 様, 此処 居る",1,家族の存在と叫び,母や祖父の存在を通じて、自己の存在意義を問いかける物語。
2011:36,2011,36,"洞窟 中, 洞窟, 大 迷宮, 迷宮, オカルト-occult",1,オカルトと迷宮の探求,2011年の作品では、洞窟の中に広がる大迷宮を舞台に、オカルト的要素が絡む神秘的な物語が展開される。
2011:40,2011,40,"魔獣, 有る 神, 文鳥, 動物 達, 色々 有る",1,神秘的な動物たち,魔獣や文鳥など、さまざまな動物が登場し、神秘的な存在として描かれる物語。
2011:41,2011,41,"妖精, 魔境, 使う 魔力, 後 魔物, 虹",1,妖精と魔境の冒険,妖精が魔力を使い、魔物と対峙する虹色の魔境での冒険を描く物語。
2011:49,2011,49,"自暴 自棄, 転移 者, 被害 者, 仕事 疲れる, 自暴",1,自暴自棄の転移と影響,自暴自棄に陥った者が、仕事の疲れや被害者意識を抱え、周囲に影響を及ぼす様子を描写する。
2011:51,2011,51,"男 生まれる, 適当 生きる, 世界 成り上がる, 中年 男性, 良い 暮らし",1,中年男性の生き方,2011年の作品は、中年男性が適当に生きながらも、世界で成り上がり良い暮らしを求める姿を描いている。
2012:0,2012,0,"ゲーマー, 居る ゲーム-game, ゲーム-game 似る, ゲーム-game 世界, ゲーム-game 有る",27,ゲームの世界とゲーマー,2012年のトピックでは、ゲームの世界に存在するゲーマーの役割やその影響について考察されている。
2012:1,2012,1,"中 コミック-comic, コミック-comic 様, 日本 国, ！ アニメ-animation, コミカライズ 版",17,日本のコミックとアニメ,2012年の日本におけるコミックとアニメの関係性やコミカライズ版の影響について考察する。
2012:2,2012,2,"現われる 女神, 魔女, 巫女, 巫女 呼ぶ, 姫 言う",7,女神と魔女の象徴,女神や魔女、巫女が登場し、彼女たちの役割や象徴性が探求される物語。
2012:3,2012,3,"為る 古代, 日本 戻る, 神話 時代, 文明 崩壊, 為る 日本",10,古代日本の神話と文明,古代日本の神話時代における文明の崩壊とその影響について考察する。
2012:4,2012,4,"世界 魔術, 魔力 持つ, 世界 魔力, 世界 魔法, 魔術 師",8,魔術と魔力の世界,2012年の作品では、魔術師たちが魔力を持つ世界を描き、魔法の力が人々の生活にどのように影響を与えるかを探求している。
2012:5,2012,5,"公爵 令嬢, 王子 婚約, 公爵 家, 子爵 令嬢, 一 王子",2,公爵家の婚約物語,公爵家の令嬢と王子の婚約を巡る物語。子爵家の令嬢との対立や家柄の重圧が描かれる。
2012:7,2012,7,"為る 才能, スキル-skill 有る, スキル-skill 選ぶ, 居る スキル-skill, 魔法 使い",2,魔法使いの才能と選択,魔法使いとしての才能やスキルの有無、選択の重要性について探求する。
2012:8,2012,8,"人物 成る, 嬢 様, 女 異, 生死 境, 付く 私-代名詞",4,女性の存在とアイデンティティ,女性の成り立ちや生死の境界を通じて、自己を見つめ直す物語が描かれる。
2012:9,2012,9,"女子 高校, 高校 生, 高校 生活, 美 少年, 男子 生徒",3,高校生活と青春の葛藤,女子高校生と美少年男子生徒の交流を通じて、高校生活の喜びや葛藤を描く物語。
2012:10,2012,10,"魔王 滅ぼす, 救国 英雄, 王国 王都, 嘗て 勇者, 自分 死ぬ",6,勇者の自己犠牲,魔王を滅ぼすために立ち上がった英雄が、自らの命を賭けて王国を救う物語。
2012:11,2012,11,"勇者 魔王, 魔王 成る, 魔王 居る, 王 有る, 勇者 達",3,勇者と魔王の関係,勇者と魔王の存在が交錯する中で、魔王が成り立つ理由や勇者たちの役割が探求される物語。
2012:12,2012,12,"聖女 成る, 偽 聖女, 聖女 召喚, 聖女 有る, 居る 聖女",2,聖女の存在と役割,聖女の概念を巡り、偽聖女や召喚された聖女の存在が探求され、彼女たちの役割と影響が考察される。
2012:13,2012,13,"乙女 ゲー-game, 私-代名詞 ゲーム-game, ゲーム-game キャラクター-character, ゲーム-game 関係, 乙女 ゲーム-game",6,乙女ゲームのキャラクター関係,乙女ゲームにおける私代名詞の使用とキャラクター間の関係性について考察する。
2012:14,2012,14,"王国 王女, 王子 結婚, 王侯 貴族, 王侯, 妻 娶る",5,王国の結婚物語,王国の王女と王子の結婚を巡る物語。王侯貴族の関係が織りなす愛と権力のドラマ。
2012:15,2012,15,"人生 掛ける, 俺 人生, 暮らす 世界, 世界 別, 生き延びる 事",10,人生の選択と生き方,人生を懸けて生きることの意味や、異なる世界での生存の在り方について考察する。
2012:16,2012,16,"英雄 伝説, 魔王 復活, 仄々 ファンタジー-fantasy, 召喚 魔法, ファンタジー-fantasy ライフ-life",4,英雄と魔王の復活,ファンタジー世界で、英雄が魔王の復活を阻止するために召喚魔法を駆使し、冒険を繰り広げる物語。
2012:17,2012,17,"ヒロイン-heroine 妹, 姉 為る, 兄弟 転生, 彼女 生活, 末裔 有る",6,転生した兄弟の物語,妹と姉の関係を描きつつ、転生した兄弟が彼女の生活に影響を与える末裔の物語。
2012:19,2012,19,"居る 記憶, 記憶 得る, 記憶 頼り, 放課 後, 有る 高校",2,高校生の記憶と存在,放課後の高校生活を通じて、記憶の形成とその重要性が描かれる。
2012:20,2012,20,"幸せ 成る, 恋人 成る, 彼氏 出来る, 私-代名詞 幼馴染み, 此れ 恋",1,幼馴染みとの恋愛,幼馴染みとの関係が恋愛に発展し、幸せを感じる様子が描かれている。
2012:21,2012,21,"勇者 英雄, 貰う 勇者, 錬金 術, 因る 城, 少年 日",2,勇者と錬金術の少年,少年が勇者として成長し、錬金術を駆使して城を守る物語。
2012:24,2012,24,"歳 冒険, 老後, 頃 夢, 若い 頃, 者 引退",1,若き日の夢と老後の冒険,若い頃の夢を追い求める冒険と、引退後の人生を考えるテーマを探求する。
2012:25,2012,25,"独身, 気侭 生活, 為る 物語, 感想 個別, 生活 為る",1,独身生活の気侭さ,独身であることの自由さや気侭な生活を描いた物語に対する個別の感想を探求する。
2012:26,2012,26,"魔法 世界, 冒険 生活, 居る 帝国, 此れ 前世, 世界 秘密",5,魔法と冒険の帝国,前世の秘密を抱える主人公が、魔法の世界で冒険しながら帝国の真実に迫る物語。
2012:27,2012,27,"居る 竜, 有る 竜, 有る ドラゴン-dragon, 古 竜, 竜 族",1,ドラゴンの存在と文化,ドラゴンに関する神話や伝説を通じて、古代からの文化的な影響とその象徴的な意味を探る。
2012:28,2012,28,"世界 飛ばす, 運命 神, 信仰 為る, ※ 書籍, 育成 為る",1,運命と信仰の育成,運命を神に委ね、信仰を通じて世界を飛ばす力を育む過程を描く。
2012:30,2012,30,"魔力, 魔力 ゼロ-zero, 為る 無限, 世 珍しい, 才能 無し",3,魔力と才能の逆説,魔力がゼロの世界で、無限の可能性を秘めた珍しい才能の探求を描く物語。
2012:31,2012,31,"魔王 勇者, ドラゴン-dragon 魔王, 世界 迷い込む, 世界 屈指, ゲーム-game 神",3,魔王と勇者の冒険,勇者が魔王とドラゴンのいる異世界に迷い込み、ゲームのような戦いを繰り広げる物語。
2012:33,2012,33,"見知る 異, 登場 人物, 人間 らしい, 能力 無い, 死ぬ 目",1,人間の無力と死,登場人物が異なる視点から人間らしさを探求し、無力さや死の目に直面する様子を描いている。
2012:34,2012,34,"コンビニ-convenience 強盗, 強盗, チート-cheat 貰う, 居る 異, コンビニ-convenience",2,コンビニ強盗の心理,コンビニでの強盗行為とその背後にある心理や社会的要因を探る。
2012:36,2012,36,"迷宮 都市, 世界 迷宮, 迷宮, 大 迷宮, 洞窟 中",1,迷宮と都市の関係,迷宮が象徴する都市の複雑さや人間の探求心を探る。迷宮は世界の中での自己探求の象徴として機能する。
2012:41,2012,41,"宝石, http ：, 挿し絵, ゴブリン-goblin, 美形",2,美形ゴブリンの宝石物語,美形のゴブリンが宝石を巡る冒険を描いた物語で、挿し絵が魅力的に物語を彩る。
2012:42,2012,42,"僕 親友, 唯一 友達, 親友 居る, 僕 死ぬ, 死ぬ 仕舞う",1,親友との絆と死,主人公は唯一の親友との関係を描き、死を迎えることでその絆の重要性を再認識する物語。
2012:43,2012,43,"王位 継承, 侯爵 夫人, クイーン-queen, 王位, 国王 陛下",1,王位継承の葛藤,侯爵夫人と国王陛下の間で繰り広げられる王位継承に関する複雑な人間関係と権力闘争を描く物語。
2012:44,2012,44,"教授, 為る 教師, 女王 様, 悪役 令嬢, まったり 学園",1,学園生活と悪役令嬢,教授や教師、女王様が登場するまったりとした学園生活を描いた物語。悪役令嬢の視点から展開される。
2012:46,2012,46,"突然 婚約, どう 婚約, 私-代名詞 婚約, 悟る 婚約, 成る 婚約",1,婚約の突然な変化,突然の婚約に戸惑い、自己を見つめ直す過程を描く物語。
2012:47,2012,47,"幼馴染み 有る, 成る 伯爵, 男爵 家, 彼女 知る, 結婚 為る",1,幼馴染みの結婚物語,幼馴染みの彼女と伯爵家の男爵が結婚する過程を描いた物語。彼女の成長と二人の絆がテーマ。
2012:48,2012,48,"妹 身代わり, 妹 婚約, ヒロイン-heroine 妹, 二 王子, 兄弟 居る",1,妹の身代わりと婚約,兄弟がいる中で、妹が身代わりとなり婚約する物語。ヒロインとしての葛藤と成長が描かれる。
2012:50,2012,50,"世界 魔物, 私-代名詞 死ぬ, ゲーム-game 似る, 乙女 ゲーム-game, 得る 世界",1,ゲームと自己認識の交差,乙女ゲームにおける私-代名詞の使用が、プレイヤーの死や魔物との関係を通じて新たな世界観を得る様子を探る。
2013:0,2013,0,"ゲーム-game 機, 居る ゲーム-game, 為 ゲーム-game, 仮想, 為る ゲーム-game",42,仮想世界のゲーム体験,2013年のゲームにおける仮想世界の重要性と、プレイヤーの存在意義について考察する。
2013:1,2013,1,"☆ 小説, 為 本編, 魔王 成る, ファンタジア-fantasia, http",25,魔王の成長物語,小説『ファンタジア』では、主人公が魔王として成長する過程を描き、冒険と葛藤を通じて自己を見つける物語が展開される。
2013:2,2013,2,"姫 達, 美姫, 妖精 達, 妖精, 彼女 人生",8,妖精と姫の人生,姫たちと妖精たちの交流を通じて、彼女たちの人生や成長が描かれる物語。
2013:3,2013,3,"前世 日本, 魔物 跋扈, ？ 魔王, 迷宮 都市, 世界 呼び出す",19,異世界の迷宮と魔物,前世の記憶を持つ主人公が、魔物が跋扈する迷宮都市で魔王を呼び出し、運命に立ち向かう物語。
2013:4,2013,4,"魔法 扱う, 魔法 名門, 世界 魔法, 魔法 放つ, 魔法 目覚める",10,魔法の覚醒と名門,魔法を扱う名門の家系が、世界での魔法の力を目覚めさせる物語。
2013:5,2013,5,"公爵 令嬢, 公爵 家, 王子 婚約, 二 王子, 王子",3,公爵家の婚約物語,公爵家の令嬢と二人の王子との婚約を巡る複雑な人間関係と恋愛模様を描いた物語。
2013:6,2013,6,"パーティー-party 追放, パーティー-party 追い出す, パーティー-party リーダー-leader, 元 パーティー-party, 者 パーティー-party",1,パーティーの追放とリーダーシップ,パーティー内での追放やリーダーの役割に焦点を当て、元メンバーの影響を探る。
2013:7,2013,7,"スキル-skill 御, ！ スキル-skill, 唯一 趣味, 奮闘 物語, 偽善",5,スキルと偽善の物語,趣味を通じてスキルを磨く主人公が、偽善に直面し奮闘する物語。
2013:8,2013,8,"アナ-announcer, ヒロイン-heroine 有る, リリー-lily アナ-announcer, 乙女 ゲーム-game, ヒロイン-heroine ライバル-rival",7,乙女ゲームのヒロインとライバル,乙女ゲームにおけるヒロインとライバルの関係を探求し、アナウンサーとしての役割を考察する。
2013:10,2013,10,"彼 勇者, 勇者 無い, 目 生, 彼 生きる, 歳 死ぬ",4,勇者の存在と生死,彼は勇者ではないが、生きるために戦い、歳を重ねる中で死を意識する。
2013:11,2013,11,"聖 騎士, 聖 剣, 英雄 達, 中 聖, 強大 敵",1,聖騎士と英雄の戦い,聖騎士たちが聖剣を手に、強大な敵に立ち向かう中世の英雄譚を描く物語。
2013:12,2013,12,"巫女姫, 聖女 成る, 女神, 新しい 聖女, 偽 聖女",1,聖女と偽聖女の対比,巫女姫が新しい聖女としての役割を果たし、偽聖女との対立を通じて女神の意義を探求する物語。
2013:13,2013,13,"ゲーム-game モブ, ゲーム-game 世界, ゲーム-game ライフ-life, 乙女 ゲーム-game, ゲー-game",9,ゲームとライフの交差,ゲームの世界と現実の生活が交錯する中で、乙女ゲームを通じたキャラクターのモブ化やプレイヤーの体験が探求される。
2013:14,2013,14,"二 王子, 一 王子, 皇太子, 侯爵 令嬢, 王子",1,王子と侯爵令嬢の物語,二人の王子と侯爵令嬢の関係を描き、権力と愛の葛藤を探る物語。
2013:15,2013,15,"人生 今度, 生きる 思う, 不尽 世界, 世界 住む, 魂",6,人生と魂の探求,人生を生きる中での思いや、不尽な世界に住む魂の葛藤を描いた作品。
2013:16,2013,16,"人 少年, 後 物語, 時 魔法, 迷宮 都市, 物語 ファンタジー-fantasy",6,魔法と迷宮の少年物語,少年が魔法の迷宮都市で繰り広げる冒険を描いたファンタジー物語。
2013:18,2013,18,"夫 愛する, 婚姻 結ぶ, 私-代名詞 結婚, 婚姻, 結婚 為る",1,愛と婚姻の関係,夫を愛し、婚姻を結ぶことに焦点を当て、私の視点から結婚の意義を探る。
